# Type	NodeId	X	Y	Z
# Time: 0
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 1
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 2
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 3
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 4
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 5
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 6
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 7
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 8
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 9
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
# Time: 10
ED	0	64.2937	88.2723	1.2
ED	1	-33.244	-82.6236	1.2
ED	2	4.43461	161.142	1.2
ED	3	58.8191	-68.0087	1.2
ED	4	41.2349	-17.2961	1.2
ED	5	59.6839	-77.826	1.2
ED	6	49.5694	-68.6034	1.2
ED	7	-75.342	-131.139	1.2
ED	8	65.3995	113.882	1.2
ED	9	43.9388	-173.437	1.2
GW	10	0	0	15
